Date,Open,High,Low,Close,Adj Close,Volume
2024-12-01,96461.34,108268.45,91317.13,93429.20,93429.20,2057355570135
2024-11-01,70216.90,99655.50,66803.65,96449.05,96449.05,2055808875264
2024-10-01,63335.61,73577.21,58895.21,70215.19,70215.19,993732418048
2024-09-01,58969.80,66480.70,52598.70,63329.50,63329.50,879117914822
2024-08-01,64625.84,65593.24,49121.24,58969.90,58969.90,1043105485208
2024-07-01,62673.61,69987.54,53717.38,64619.25,64619.25,953395573307
2024-06-01,67489.61,71907.85,58601.70,62678.29,62678.29,726773965644
2024-05-01,60609.50,71946.46,56555.29,67491.41,67491.41,874291509757
2024-04-01,71333.48,72715.36,59120.07,60636.86,60636.86,1016068331704
2024-03-01,61168.06,73750.07,59323.91,71333.65,71333.65,1446417844950
2024-02-01,42569.76,63913.13,41879.19,61198.38,61198.38,830721862621
2024-01-01,42280.23,48969.37,38521.89,42582.61,42582.61,825918941347
2023-12-01,37718.01,44705.52,37629.36,42265.19,42265.19,721704910480
2023-11-01,34657.27,38415.34,34133.44,37712.75,37712.75,570863267380
2023-10-01,26967.40,35150.43,26558.32,34667.78,34667.78,476425634860
2023-09-01,25934.02,27488.76,24930.30,26967.92,26967.92,337637313742
2023-08-01,29230.87,30176.80,25409.11,25931.47,25931.47,437724169499
2023-07-01,30471.85,31814.52,28934.29,29230.11,29230.11,382224489090
2023-06-01,27218.41,31389.54,24797.17,30477.25,30477.25,481734214225
2023-05-01,29227.10,29820.13,25878.43,27219.66,27219.66,443473015479
2023-04-01,28473.33,31005.61,27070.85,29268.81,29268.81,511540319004
2023-03-01,23150.93,29159.90,19628.25,28478.48,28478.48,883299703608
2023-02-01,23137.84,25134.12,21460.09,23147.35,23147.35,723968574897
2023-01-01,16547.91,23919.89,16521.23,23139.28,23139.28,690994018045
2022-12-01,17168.00,18318.53,16398.14,16547.50,16547.50,541356716034
2022-11-01,20494.90,21446.89,15599.05,17168.57,17168.57,1224531549126
2022-10-01,19431.11,20988.39,18319.82,20495.77,20495.77,957903424925
2022-09-01,20050.50,22673.82,18290.31,19431.79,19431.79,1123272250385
2022-08-01,23336.72,25135.59,19600.79,20049.76,20049.76,894192654543
2022-07-01,19820.47,24572.58,18966.95,23336.90,23336.90,927582363389
2022-06-01,31792.55,31957.29,17708.62,19784.73,19784.73,923939211678
2022-05-01,37713.27,39902.95,26350.49,31792.31,31792.31,1105689315990
2022-04-01,45554.16,47313.48,37697.94,37714.88,37714.88,830115888649
2022-03-01,43194.50,48086.84,37260.20,45538.68,45538.68,830943838435
2022-02-01,38481.77,45661.17,34459.22,43193.23,43193.23,671335993325
2022-01-01,46311.75,47881.41,33184.06,38483.13,38483.13,923979037681
2021-12-01,56907.96,59041.68,42874.62,46306.45,46306.45,957047184722
2021-11-01,61320.45,68789.63,53569.77,57005.43,57005.43,1053270271383
2021-10-01,43816.74,66930.39,43320.02,61318.96,61318.96,1153077903534
2021-09-01,47099.77,52853.77,39787.61,43790.89,43790.89,1102139678824
2021-08-01,41460.84,50482.08,37458.00,47166.69,47166.69,1014674184428
2021-07-01,35035.98,42235.55,29360.96,41626.20,41626.20,819103381204
2021-06-01,37293.79,41295.27,28893.62,35040.84,35040.84,1189647451707
2021-05-01,57714.66,59519.36,30681.50,37332.86,37332.86,1976593438572
2021-04-01,58926.56,64863.10,47159.48,57750.18,57750.18,1844481772417
2021-03-01,45159.50,61683.86,45115.09,58918.83,58918.83,1681184264687
2021-02-01,33114.58,58330.57,32384.23,45137.77,45137.77,2267152936675
2021-01-01,28994.01,41946.74,28722.76,33114.36,33114.36,2153473433571
2020-12-01,19633.77,29244.88,17619.53,29001.72,29001.72,1212259707946
2020-11-01,13781.00,19749.26,13243.16,19625.84,19625.84,1093144913227
2020-10-01,10795.25,14028.21,10416.69,13781.00,13781.00,1050874546086
2020-09-01,11679.32,12067.08,9916.49,10784.49,10784.49,1075949438431
2020-08-01,11322.57,12359.06,11012.42,11680.82,11680.82,708377092130
2020-07-01,9145.99,11415.86,8977.02,11323.47,11323.47,545813339109
2020-06-01,9463.61,10199.57,8975.53,9137.99,9137.99,650913318680
2020-05-01,8672.78,9996.74,8374.32,9461.06,9461.06,1286368141507
2020-04-01,6437.32,9440.65,6202.37,8658.55,8658.55,1156127164831
2020-03-01,8599.76,9167.70,4106.98,6438.64,6438.64,1290442059648
2020-02-01,9346.36,10457.63,8492.93,8599.51,8599.51,1163376492768
2020-01-01,7194.89,9553.13,6915.00,9350.53,9350.53,852872174496
2019-12-01,7571.62,7743.43,6540.05,7193.60,7193.60,633790373416
2019-11-01,9193.99,9505.05,6617.17,7569.63,7569.63,676919523650
2019-10-01,8299.72,10021.74,7446.99,9199.58,9199.58,595205134748
2019-09-01,9630.59,10898.76,7830.76,8293.87,8293.87,480544963230
2019-08-01,10077.44,12273.82,9421.63,9630.66,9630.66,533984971734
2019-07-01,10796.93,13129.53,9163.13,10085.63,10085.63,676416326705
2019-06-01,8573.84,13796.49,7564.49,10817.16,10817.16,675855385074
2019-05-01,5350.91,9008.31,5347.65,8574.50,8574.50,724157870864
2019-04-01,4105.36,5642.04,4096.90,5350.73,5350.73,445364556718
2019-03-01,3853.76,4296.81,3733.75,4105.40,4105.40,297962790260
2019-02-01,3460.55,4210.64,3391.02,3854.79,3854.79,199100675597
2019-01-01,3746.71,4109.02,3400.82,3455.79,3455.79,167335706864
2018-12-01,4024.46,4309.38,3191.30,3742.70,3742.70,168826809069
2018-11-01,6318.14,6552.16,3585.06,4017.27,4017.27,158359524484
2018-10-01,6619.85,6965.06,6236.47,6317.61,6317.61,118436880000
2018-09-01,7044.81,7388.43,6197.52,6625.56,6625.56,129745370000
2018-08-01,7769.04,7769.04,5971.05,7037.58,7037.58,132292770000
2018-07-01,6411.68,8424.27,6136.42,7780.44,7780.44,141441939792
